reviewId,content,score
893387d9-3c6b-479e-9aad-92e7b4d6a759,This app is so nice I really loved it but the old one was good your old bird was good,5
4c4ed641-1b0b-412b-a8c0-df50cda42c18,It's okay,5
d6f99ff9-fe36-4964-8357-935c0c2ecb60,Great,5
96b7e471-5c67-44f6-94e0-5d1879dc4a2c,Very good and informative,5
ec973a71-b035-4fe8-8d71-19a6f56edc66,Wild app,5
daef953c-adc3-4fbd-a82d-f41344bd1858,Nice to me,4
fd8e8ec3-0e34-4c03-9bd8-255f418981e4,Nice,4
ac00499f-ca3b-4609-8724-28bd90c19307,ok,4
b47aa0df-bdef-493c-8e0c-755539628cf9,Humour,5
3e6449d3-a445-4cdd-bb2a-1d075f264ec5,Nice app.,3
74c7a6c1-963f-4c37-a282-3fdb5214af85,Ok,5
4b9fc48c-cb85-4a64-8600-cfbaef851f79,A vary best app,5
7cc2d464-6b37-4fc0-b391-368963939ae1,"Fast,simple, and does what it does better than any app out there.",5
73967254-26f5-4c03-98c5-36734152569c,Crashed almost everyday,1
cd143a64-896e-4cce-83a7-e619da1dab4f,I miss the name Twitter. Not X. 😢,1
c0041776-a408-4067-a30b-00a8d9907e03,Good,5
6b638a73-4bc5-4bba-8884-4853e0091024,too much gaslighting,1
b0cc0eba-b19b-4229-9116-4538af742fab,Good,5
bf4275b8-b751-437d-922d-093747d5e77d,Wonderful media to communicate with the world. It reduce the distance between minds and countries .,5
ccb8314a-cdb5-4a69-9698-f0e232a1dc72,We can speak free,5
895c2697-a998-49f1-bf93-e2a67f613bec,Y'all got something GOOD going on here♥️🤘🏾,5
c01fd6be-2fd4-445f-b59e-3f489c6bcf80,Informative app,5
5bd49315-dacf-4715-8060-341cbfdb63bc,Nice,5
d1a09de1-3269-442e-a88c-79fbd53c92ad,Trash,1
6b2a6ded-7971-4698-9efd-67af5d33c516,Xeptional!,5
b15fcbfe-b878-46f0-8c5f-4135e8e657c3,Absolutely biased with Israel,1
d3055dc7-8851-4b43-acc2-d8af24280e83,"Hate this X. Simply missing Twitter and its user friendly options. Couldn't login just because of the low standard base question even having everything (phone number, email etc)",1
bfe0fb44-b426-4381-9d24-da61d35f4c8c,Free lancer,4
2908ffcc-181a-4f6b-a420-43d0da95935a,It's Good,5
45f3979e-c907-4a19-bdce-1b75b20fdeff,Good,3
ea02c766-c563-4b71-a680-8796cf52b400,All access no hiding of the truth.,5
924c3ca6-62db-4813-af54-76efa2a15494,Hardly any content very disappointed,1
df0cf3b9-486a-48c7-aa9c-463358b72bc9,Long live free speech,5
3cecbf45-3287-4861-a0b9-3bbe6364e366,Getting use to but miss .. 🐦,5
dc9932ad-7601-42c7-bf00-d317fe59d494,Nice one application easy to use no any crashes etc overall mobile friendly,5
e4630178-15d4-49d1-b4e6-f690e999e9a3,Good plateform,4
6618156e-3a09-431d-ae59-dec13f5b359c,Dead,1
0b6f8f41-4f24-4d65-92e3-2005664feb62,You will always have my support Elon!,5
857ccbe4-a399-4007-8566-e44ef6b34e07,Nice,5
f03f5138-4727-41c5-9566-1254a1793e1a,"Was good while it lasted, latest changes make the platform questionable especially when you're being bot followed.",1
99d661da-e85c-4122-aba4-1f37a6db7087,Eror app,1
60de261c-6471-48ad-8686-eae0b069bef3,Much improved over the old Twitter !,5
71b8278a-d8e0-477f-b7fe-918a6729b75b,"X is such a lame name for an app. But I'm not surprised when you leave someone like eLoN in charge. I will continue to call it Twitter so it's no sweat off my back, but I've noticed Twitters been getting worse ever since that old man took over. There are so many better things he could've done with that money. Like feed the hungry, build homes for low income families or homeless, give it to animals in need, etc. Yet he bought Twitter & is ruining it. 🤣 Smart.",1
c5481406-748b-4b7a-aeaf-fc6a91193751,BRING BACK CIRCLESSSSSSS,1
747ac941-ae35-4dc0-b066-8367a4a02a95,bad👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1
88f2bc71-4947-4bb7-8b99-fb96a598f86b,Am I crazy or did this app randomly EAT Twitter? I can't even find Twitter on my phone or even in any app store. ...no really.,1
1a117261-ea29-4bff-8712-6219ef9558ad,"Yg bikin koneksi itu paltel, bukan starlink. Ngaku-ngaku aja musk",1
c9f69f73-9e19-49a6-881b-d1b40621e04a,Unbiased social media Platform to connect and communicate across the world.,5
933d9e8c-1296-4483-ae3d-b9def71ad4d9,I love 😍 all the #FreedomOfSpeech! #ThanksElon! @elonmusk @X I can't wait for interactive livestreaming on Twitter X!,5
7b7bd0b3-63e9-48e7-9327-ac29828fc967,I love you,5
b97c5b54-f984-4b8b-8e29-f9f20e4bf06f,No complaints,5
f71abb1f-aef9-4673-9a30-5fd06dd2a5f9,Free,5
61228581-9e47-4f70-a4d6-70ff46a7ff4e,F elon,1
f775acd4-ea00-41c3-8778-0ac8c5ac5163,Nice,5
a14dc230-6414-45cd-984a-024eb502fd9e,Gud,5
95f791e7-ebdd-439b-880a-41ba9e7f34ff,Good for paying customers,5
89dd41f4-680c-46ed-a321-625ee3993e46,The best app in 2023 Here you can have some real freedom I deleted all meta apps and i just use x now Thank you elon musk 🙏,5
37f8df8a-8ae5-4e08-a6a8-dac3816e3da1,Good Platform,5
c9972693-7109-4d5d-8158-5995b6f42201,Good,5
50f7095e-4ebc-461b-a637-c3cbd53a86b1,Unjustly suspention and the admins will not even look at your appeal to see if you are wrongfully suspended.,1
d0df6897-f1e2-4070-b1dd-9a7799d14e26,"Good for enter..,",5
5de563dc-0ab8-4665-bbee-b185c33ee1b8,You are free here,5
d342b7f7-7f2e-4649-b611-e98d8fb3ba29,good,5
328c112b-a522-4f97-8546-c545e6e3f57c,"Was ok, app has only gotten worse but all of a sudden 99% of the tweets I get recommended are in a different language. I've already my preferred language to English and it wasn't a problem before, but now I only get 1-2 posts that are English. I don't know how to fix this as having the preferred language doesn't help",1
a09603ab-4fdc-48e8-91c0-cd2e29510ada,True free speech social network,5
82a2ba9d-e6ae-41fc-bb7d-de8769ea9bdf,Elon musk made this app better but I won't play for a few things on the app,4
9468f9b8-4208-4ae0-aa5b-774c3d3a9255,Easy to use,4
